CASE_ID;Региональный_филиал;Населенный_пункт;Код_открытия_обращения;Код_закрытия_обращения;Технология;Услуга;Количество_операций_в_выполнении_процесса;Общее_время_выполнения_процесса
482846511##8911420;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;10;112:41:18
482846512##8911421;Коми филиал ОАО «ххх»;ТРОИЦКО-ПЕЧОРСК;"Нет зуммера ""ответ станции""";Замена пары в распределительном кабеле;Медная пара;ОТА;6;107:25:10
482846513##8911424;Архангельский филиал ОАО «ххх»;НИКОЛЬСК;01. Отсутствует синхронизация;Кабельный ящик;xDSL;ШПД;6;108:34:25
482846514##8911427;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;16;161:48:56
482846515##8911428;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Муфта магистрального кабеля;xDSL;ШПД;6;113:03:30
482846516##8911434;Петербургский филиал ОАО «ххх» Ленинградская обл.;БОЛЬШОЕ КУЗЕМКИНО;Искажение на всех каналах;Распределительная коробка;xDSL;IP-TV;6;109:50:25
482846517##8911437;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Предложено обратиться к сторонним специалистам/сист. администратору;PON;IP-TV;14;143:33:45
482846518##8911445;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Подзвонка ТА/Беспрерывный звонок;Муфта магистрального кабеля;Медная пара;ОТА;8;113:50:47
482846519##8911454;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Низкая скорость;Необнаруженные повреждения;PON;ШПД;17;142:15:18
482846520##8911457;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Муфта магистрального кабеля;xDSL;IP-TV;16;111:11:09
482846521##8911458;Мурманский филиал ОАО «ххх»;ЗАОЗЕРСК;Замена клиентского оборудования;Настройка пульта STB;FTTx;ШПД;8;109:27:33
482846522##8911461;Коми филиал ОАО «ххх»;СЕВЕРНЫЙ;01. Отсутствует синхронизация;Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);xDSL;ШПД;6;109:32:11
482846523##8911467;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Отсутствие на всех каналах;Замена STB;PON;IP-TV;8;107:45:09
482846524##8911469;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Отсутствие на всех каналах;Замена STB;PON;IP-TV;10;115:53:32
482846525##8911475;Калининградский филиал ОАО «ххх»;ЗЕЛЕНОГРАДСК;Неустойчивое физическое соединение;Отказ от заявки/вызова;xDSL;ШПД;10;107:02:06
482846526##8911489;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Смена тарифного плана;xDSL;ШПД;8;113:02:32
482846527##8911493;Петербургский филиал ОАО «ххх» Ленинградская обл.;НИКОЛЬСКИЙ;01. Отсутствует синхронизация;Замена пары в магистральном кабеле;xDSL;ШПД;4;108:44:51
482846528##8911496;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Дана консультация;xDSL;IP-TV;4;116:21:51
482846529##8911498;Архангельский филиал ОАО «ххх»;ДОРОГОРСКОЕ;Низкая скорость;Необнаруженные повреждения;xDSL;ШПД;6;107:56:53
482846530##8911499;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;6;112:40:26
482846531##8911500;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Передано на кабельное повреждение;PON;ШПД;8;108:15:14
482846532##8911503;Новгородский филиал ОАО «ххх»;СТАРАЯ РУССА;01. Отсутствует синхронизация;Замена коннектора;xDSL;ШПД;6;108:38:35
482846533##8911509;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Отказ от заявки/вызова;PON;IP-TV;10;107:50:29
482846534##8911516;Архангельский филиал ОАО «ххх»;МЕЗЕНЬ;Неустойчивое физическое соединение;Комнатная проводка (в домовладении/квартире);xDSL;ШПД;6;111:37:15
482846535##8911522;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;01. Отсутствует синхронизация;Произведена замена порта ADSL;xDSL;ШПД;14;132:09:41
482846536##8911528;Калининградский филиал ОАО «ххх»;СЕВЕРНЫЙ;Низкая скорость;Замена коннектора;FTTx;ШПД;8;112:44:32
482846537##8911534;Мурманский филиал ОАО «ххх»;ГАДЖИЕВО;Отсутствие на всех каналах;Замена STB;FTTx;IP-TV;8;113:17:05
482846538##8911552;Коми филиал ОАО «ххх»;ВОРКУТА;Низкая скорость;Замена порта коммутатора/DSLAM/OLT;FTTx;ШПД;13;137:21:27
482846539##8911554;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОЛПИНО;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;8;135:15:03
482846540##8911556;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;До вторичного заявления (кабельные);PON;IP-TV;8;110:22:36
482846541##8911561;Архангельский филиал ОАО «ххх»;ПЛЕСЕЦК;01. Отсутствует синхронизация;Повреждение в зоне ответственности абонента;xDSL;ШПД;8;155:53:01
482846542##8911567;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОЛПИНО;01. Отсутствует синхронизация;Оптическое волокно в квартире;PON;ШПД;8;113:52:52
482846543##8911568;Мурманский филиал ОАО «ххх»;19 КМ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;107:48:39
482846544##8911569;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;6;112:12:57
482846545##8911579;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена клиентского оборудования;Замена блока питания STB;PON;IP-TV;10;111:59:46
482846546##8911580;Петербургский филиал ОАО «ххх» Ленинградская обл.;СИВЕРСКИЙ;"Нет зуммера ""ответ станции""";Кабельный ящик;Медная пара;ОТА;4;110:54:31
482846547##8911590;Мурманский филиал ОАО «ххх»;МУРМАНСК;Настройка клиентского оборудования;Абонент не отвечает на вызов;PON;ШПД;4;109:52:29
482846548##8911591;Петербургский филиал ОАО «ххх» Ленинградская обл.;ГАТЧИНА;"""Сервер не найден""";Прочие с указанием причины;PON;IP-TV;9;106:37:54
482846549##8911593;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Неустойчивое физическое соединение;Отказ от заявки/вызова;DOCSIS;ШПД;14;111:19:30
482846550##8911597;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;Неустойчивое логическое соединение;Комнатная проводка (в домовладении/квартире);xDSL;ШПД;20;106:08:47
482846551##8911600;Коми филиал ОАО «ххх»;ВОРКУТА;04. Не доступна сеть Wi-Fi;Перепутаны порты на коммутаторе FTTB;FTTx;ШПД;9;114:05:24
482846552##8911603;Коми филиал ОАО «ххх»;ВОДНЫЙ;Низкая скорость;Тестирование скорости доступа услуги;PON;ШПД;10;108:05:49
482846553##8911605;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПАРГОЛОВО;Отсутствие на всех каналах;Абонент не отвечает на вызов;PON;IP-TV;4;112:44:16
482846554##8911606;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на одном/нескольких каналах;Абонент не отвечает на вызов;Прочее;Кабельное TV;4;108:02:14
482846555##8911608;Мурманский филиал ОАО «ххх»;МУРМАНСК;Низкая скорость;Замена CPE;PON;ШПД;10;106:42:59
482846556##8911617;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПАРГОЛОВО;Отсутствие на всех каналах;Абонент не отвечает на вызов;PON;IP-TV;4;108:18:48
482846557##8911624;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КУДРОВО;02. Не отображаются стр., нет авторизации;Замена CPE;PON;ШПД;8;133:16:46
482846558##8911625;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;4;111:02:57
482846559##8911629;Мурманский филиал ОАО «ххх»;МУРМАНСК;Низкая скорость;Дана консультация;PON;ШПД;4;107:25:53
482846560##8911630;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Неустойчивое физическое соединение;Абонент не отвечает на вызов;DOCSIS;ШПД;8;110:26:44
482846561##8911633;Калининградский филиал ОАО «ххх»;ЯНТАРНЫЙ;02. Не отображаются стр., нет авторизации;Необнаруженные повреждения;FTTx;ШПД;8;134:31:58
482846562##8911634;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;На экран LOADING/Cannot connected;Исправлена схема подключения;PON;IP-TV;4;117:48:13
482846563##8911640;Мурманский филиал ОАО «ххх»;СЕВЕРОМОРСК;Подкл/откл услуг/пакетов/каналов;Абонент не отвечает на вызов;FTTx;IP-TV;4;116:22:46
482846564##8911644;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на всех каналах;Замена STB;PON;IP-TV;14;113:01:05
482846565##8911646;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Неустойчивое физическое соединение;Оставлено до вторичного заявления;DOCSIS;ШПД;10;118:00:47
482846566##8911653;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;РЕПИНО;"Нет зуммера ""ответ станции""";Комнатная проводка до клиента (до квартиры абонента/в подъезде);Медная пара;ОТА;6;108:27:43
482846567##8911657;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Все сделали по наряду;DOCSIS;ШПД;10;108:27:42
482846568##8911665;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена CPE;xDSL;IP-TV;16;105:33:47
482846569##8911668;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;К абоненту попадают посторонние вызовы;Отказ от заявки/вызова;Медная пара;ОТА;8;103:41:09
482846570##8911672;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена оборудования СПД;Прочее;Кабельное TV;8;106:51:55
482846571##8911673;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Передано на кабельное повреждение;PON;ШПД;12;110:09:32
482846572##8911685;Мурманский филиал ОАО «ххх»;ГАДЖИЕВО;Отсутствие на всех каналах;Замена блока питания STB;FTTx;IP-TV;12;102:59:32
482846573##8911691;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КУДРОВО;01. Отсутствует синхронизация;Исправлена схема подключения;PON;ШПД;8;104:15:15
482846574##8911705;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;Неустойчивое физическое соединение;Замена коннектора;PON;ШПД;8;99:40:24
482846575##8911728;Псковский филиал ОАО «ххх»;УЗКОЕ;"Нет зуммера ""ответ станции""";Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;6;103:22:08
482846576##8911729;Карельский филиал ОАО «ххх»;СУОЯРВИ;Настройка клиентского оборудования;Шнур (м/телефонный, розеточный);xDSL;ШПД;12;123:06:54
482846577##8911766;Новгородский филиал ОАО «ххх»;НОВОСЕЛЬСКИЙ;Нет соединения от абонента / к абоненту;Неисправен ТА абонента;Медная пара;ОТА;6;98:44:27
482846578##8911784;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;98:23:25
482846579##8911800;Петербургский филиал ОАО «ххх» Ленинградская обл.;ЛУГА;"Нет зуммера ""ответ станции""";Кабельные оконечные устройства (КРТ, КЯ);Медная пара;ОТА;4;99:54:31
482846580##8911814;Новгородский филиал ОАО «ххх»;ЮБИЛЕЙНЫЙ;01. Отсутствует синхронизация;Необнаруженные повреждения;xDSL;ШПД;6;101:05:13
482846581##8911817;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Зуммер ""занято""";Необнаруженные повреждения;Медная пара;ОТА;8;124:13:13
482846582##8911840;Коми филиал ОАО «ххх»;ТРОИЦКО-ПЕЧОРСК;01. Отсутствует синхронизация;Повреждение клиентского оборудования ;xDSL;ШПД;6;97:11:03
482846583##8911863;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Нет соединения от абонента / к абоненту;Кабельные оконечные устройства (КРТ, КЯ) распред.;Медная пара;ОТА;8;100:05:39
482846584##8911904;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОЛПИНО;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;100:14:20
482846585##8911911;Архангельский филиал ОАО «ххх»;ЛЕШУКОНСКОЕ;Замена клиентского оборудования;Замена блока питания STB;xDSL;IP-TV;6;97:53:33
482846586##8911915;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КУДРОВО;Искажение на всех каналах;Настройка CPE;PON;IP-TV;8;125:36:06
482846587##8911916;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена (восстановление) проводки;Необнаруженные повреждения;DOCSIS;ШПД;8;108:50:43
482846588##8911939;Коми филиал ОАО «ххх»;ВУКТЫЛ;Замена (восстановление) проводки;Не обнаружено, абонентское устройство работает, услуга оказывается;FTTx;ШПД;8;99:12:32
482846589##8911942;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПАРГОЛОВО;04. Не доступна сеть Wi-Fi;Дана консультация;PON;ШПД;4;98:27:21
482846590##8911948;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Оставлено до вторичного заявления;Медная пара;ОТА;8;150:31:02
482846591##8911952;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;8;97:45:27
482846592##8911961;Карельский филиал ОАО «ххх»;ВЕГАРУС;"Нет зуммера ""ответ станции""";Неисправность блока питания;Радиодоступ;ОТА;8;98:22:41
482846593##8911971;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПЕТЕРГОФ;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;Медная пара;ОТА;6;101:45:51
482846594##8911975;Коми филиал ОАО «ххх»;УСОГОРСК;01. Отсутствует синхронизация;Замена пары в магистральном кабеле;xDSL;ШПД;6;98:25:46
482846595##8911982;Карельский филиал ОАО «ххх»;ЛАХДЕНПОХЬЯ;01. Отсутствует синхронизация;Комнатная проводка (в домовладении/квартире);xDSL;ШПД;6;129:36:43
482846596##8911984;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Оптическое волокно в подъезде;PON;SIP;10;99:21:12
482846597##8911988;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;МЕТАЛЛОСТРОЙ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;101:20:35
482846598##8911991;Петербургский филиал ОАО «ххх» Ленинградская обл.;ПРИМОРСК;Нет соединения от абонента / к абоненту;Замена пары в распределительном кабеле;Медная пара;ОТА;6;98:39:52
482846599##8912004;Калининградский филиал ОАО «ххх»;ГУСЕВ;Нет соединения от абонента / к абоненту;Сообщение провода (ВЛС, наброс, короткое, обрыв);Медная пара;ОТА;6;99:17:09
482846600##8912005;Петербургский филиал ОАО «ххх» Ленинградская обл.;СИВЕРСКИЙ;Нет соединения от абонента / к абоненту;Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;4;98:15:32
482846601##8912018;Карельский филиал ОАО «ххх»;ЛАХДЕНПОХЬЯ;Неустойчивое физическое соединение;Кабельный ящик;xDSL;ШПД;6;130:42:49
482846602##8912020;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;8;101:23:04
482846603##8912024;Карельский филиал ОАО «ххх»;ПРЯЖА;Нет соединения от абонента / к абоненту;Абонент отказался от заявки (до РК проверено, в порядке);Медная пара;ОТА;6;100:41:15
482846604##8912025;Петербургский филиал ОАО «ххх» Ленинградская обл.;ЮККИ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;6;95:36:32
482846605##8912029;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Исправлена схема подключения;Прочее;Кабельное TV;10;99:36:10
482846606##8912035;Карельский филиал ОАО «ххх»;ПАДАНЫ;01. Отсутствует синхронизация;Распределительный кабель;xDSL;ШПД;6;103:54:50
482846607##8912038;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;04. Не доступна сеть Wi-Fi;Отказ от заявки/вызова;PON;ШПД;8;106:00:01
482846608##8912049;Карельский филиал ОАО «ххх»;КОСТОМУКША;01. Отсутствует синхронизация;Замена патч-корда;PON;ШПД;8;102:21:51
482846609##8912056;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Отсутствие на всех каналах;Замена STB;PON;IP-TV;8;97:25:23
482846610##8912066;Коми филиал ОАО «ххх»;КАЖЫМ;Качество работы;Восстановление кабельного ввода ;Прочее;Не определено;8;98:27:44
482846611##8912069;Калининградский филиал ОАО «ххх»;БАЛТИЙСК;01. Отсутствует синхронизация;Замена CPE;PON;ШПД;16;98:08:38
482846612##8912077;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;101:35:48
482846613##8912083;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;"Нет зуммера ""ответ станции""";Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;6;97:40:30
482846614##8912085;Вологодский филиал ОАО «ххх»;СОСНОВКА;04. Не доступна сеть Wi-Fi;Дана консультация;xDSL;ШПД;4;100:04:12
482846615##8912095;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Оптическое волокно в квартире;PON;ШПД;10;101:41:40
482846616##8912096;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена CPE;PON;ШПД;12;98:41:21
482846617##8912099;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫБОРГ;Радио точка не работает;Повреждение магистральный фидерных линий;Прочее;Не определено;8;97:06:25
482846618##8912103;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;97:46:34
482846619##8912105;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Настройка пульта STB;PON;IP-TV;10;99:11:56
482846620##8912106;Калининградский филиал ОАО «ххх»;СВЕТЛЫЙ;01. Отсутствует синхронизация;Изменен профайл;xDSL;ШПД;4;98:26:44
482846621##8912124;Калининградский филиал ОАО «ххх»;ВЛАДИМИРОВО;"Нет зуммера ""ответ станции""";Восст. лин.с в/ввода;Медная пара;ОТА;6;106:56:46
482846622##8912127;Новгородский филиал ОАО «ххх»;МАЛАЯ ВИШЕРА;"Нет зуммера ""ответ станции""";Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;8;94:10:47
482846623##8912130;Коми филиал ОАО «ххх»;ИЖМА;Плохая слышимость;Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;6;142:29:38
482846624##8912135;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Настройка CPE;PON;IP-TV;10;104:24:49
482846625##8912139;Петербургский филиал ОАО «ххх» Ленинградская обл.;ТРУБНИКОВ БОР;Нет соединения от абонента / к абоненту;Отказ от заявки/вызова;Медная пара;ОТА;8;97:29:43
482846626##8912145;Петербургский филиал ОАО «ххх» Ленинградская обл.;ТАЙЦЫ;"Нет зуммера ""ответ станции""";Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;4;101:15:38
482846627##8912148;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;Качество работы;Повреждение магистральный фидерных линий;Прочее;Не определено;8;99:40:31
482846628##8912153;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;Неустойчивое физическое соединение;Сообщение провода (ВЛС, наброс, короткое, обрыв);xDSL;ШПД;6;103:28:41
482846629##8912169;Коми филиал ОАО «ххх»;ИЖМА;"Нет зуммера ""ответ станции""";Неисправность сплиттера;Медная пара;ОТА;6;98:01:53
482846630##8912183;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;04. Не доступна сеть Wi-Fi;Настройка CPE;PON;ШПД;14;105:33:48
482846631##8912188;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПАРГОЛОВО;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;100:38:39
482846632##8912207;Псковский филиал ОАО «ххх»;ВЕЛИКИЕ ЛУКИ;01. Отсутствует синхронизация;Замена пары в магистральном кабеле;xDSL;ШПД;6;101:09:58
482846633##8912216;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Повреждение ОРК;PON;SIP;12;122:02:15
482846634##8912228;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;"Нет зуммера ""ответ станции""";Замена магистральной и распределительной пар;Медная пара;ОТА;8;97:21:07
482846635##8912233;Новгородский филиал ОАО «ххх»;БОРОВИЧИ;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;6;97:45:10
482846636##8912241;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Перезапуск CPE;PON;ШПД;16;121:09:54
482846637##8912246;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на одном/нескольких каналах;Настройка ТВ абонента;Прочее;Кабельное TV;4;97:19:32
482846638##8912255;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ВСЕВОЛОЖСК;Отсутствие на всех каналах;Исправлена схема подключения;PON;IP-TV;11;98:46:24
482846639##8912256;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена (восстановление) проводки;Исправлена схема подключения;Прочее;Кабельное TV;8;96:42:15
482846640##8912268;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПОНТОННЫЙ;Отсутствие на всех каналах;Замена CPE;xDSL;IP-TV;8;101:25:13
482846641##8912278;Мурманский филиал ОАО «ххх»;СЕВЕРОМОРСК;Замена клиентского оборудования;Замена блока питания STB;FTTx;IP-TV;8;96:03:09
482846642##8912282;Вологодский филиал ОАО «ххх»;МОРОЗОВИЦА;01. Отсутствует синхронизация;Муфта (ВОЛС);PON;ШПД;6;97:03:14
482846643##8912283;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Нарушение связи не обнаружено;DOCSIS;ШПД;8;98:11:40
482846644##8912287;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Отсутствие на одном/нескольких каналах;Замена STB;PON;IP-TV;8;95:06:14
482846645##8912290;Петербургский филиал ОАО «ххх» Ленинградская обл.;РОЩИНО;Плохая слышимость;Уплотнение (FCM, диодная приставка, АВУ, блокиратор и т.д.);Медная пара;ОТА;6;97:02:49
